City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Kloulklubed,PW,2022-01-06 21:14:16,broken clouds,7.0419,134.2556,82.33,75,69,7.31
178,Lorengau,PG,2022-01-06 21:14:17,overcast clouds,-2.0226,147.2712,81.63,75,100,10.09
179,Victoria,HK,2022-01-06 21:10:45,broken clouds,22.2855,114.1577,66.18,87,83,1.99
180,Geraldton,AU,2022-01-06 21:14:17,overcast clouds,-28.7667,114.6,73.81,83,100,12.66
181,Thompson,CA,2022-01-06 21:14:17,broken clouds,55.7435,-97.8558,-14.06,90,84,7.63
182,Humberto De Campos,BR,2022-01-06 21:14:18,overcast clouds,-2.5983,-43.4611,79.12,82,100,6.89
183,Fairview,US,2022-01-06 21:14:18,clear sky,40.8126,-73.999,38.77,45,0,0.0
184,Vila Franca Do Campo,PT,2022-01-06 21:14:18,broken clouds,37.7167,-25.4333,57.61,74,77,11.3
185,Turukhansk,RU,2022-01-06 21:14:19,overcast clouds,65.8167,87.9833,-25.2,98,100,6.78
186,Iwaki,JP,2022-01-06 21:14:19,few clouds,37.05,140.8833,37.02,65,22,8.01
187,Esso,RU,2022-01-06 21:14:19,overcast clouds,55.9333,158.7,9.12,95,100,2.33
188,Maraa,BR,2022-01-06 21:11:14,overcast clouds,-1.8333,-65.3667,87.64,56,99,3.06
189,Calabozo,VE,2022-01-06 21:14:20,scattered clouds,8.9242,-67.4293,92.53,21,40,7.05
190,Cidreira,BR,2022-01-06 21:14:21,scattered clouds,-30.1811,-50.2056,71.74,65,28,12.53
191,Hobyo,SO,2022-01-06 21:14:21,few clouds,5.3505,48.5268,78.12,79,12,19.15
192,Inhambane,MZ,2022-01-06 21:14:22,scattered clouds,-23.865,35.3833,78.28,72,33,10.2
193,Bakchar,RU,2022-01-06 21:14:22,broken clouds,57.0186,82.0711,-17.28,100,62,3.15
194,Luocheng,CN,2022-01-06 21:14:23,overcast clouds,29.3848,104.0286,49.32,74,100,1.57
195,Chapais,CA,2022-01-06 21:14:23,clear sky,49.7834,-74.8492,-1.62,91,7,6.6
196,Aklavik,CA,2022-01-06 21:14:24,broken clouds,68.2191,-135.0107,-3.21,82,72,24.47
197,Ajdabiya,LY,2022-01-06 21:14:24,clear sky,30.7554,20.2263,58.03,49,6,9.51
198,Aljezur,PT,2022-01-06 21:14:25,few clouds,37.3191,-8.8033,51.84,81,21,9.91
199,Yerbogachen,RU,2022-01-06 21:14:25,scattered clouds,61.2767,108.0108,-8.54,100,38,4.41
200,Oktyabrskiy,RU,2022-01-06 21:14:26,light snow,54.4815,53.471,32.13,96,100,18.68
201,Ojinaga,MX,2022-01-06 21:12:06,clear sky,29.5667,-104.4167,75.58,21,0,4.61
202,Ternate,ID,2022-01-06 21:14:26,overcast clouds,0.8,127.4,78.93,83,97,7.74
203,Anshun,CN,2022-01-06 21:14:27,overcast clouds,26.25,105.9333,39.96,94,100,7.74
204,Esperance,AU,2022-01-06 21:14:27,clear sky,-33.8667,121.9,58.08,87,4,10.16
205,Brae,GB,2022-01-06 21:14:27,overcast clouds,60.3964,-1.353,44.51,85,100,23.89
206,Kikwit,CD,2022-01-06 21:14:28,overcast clouds,-5.041,18.8162,73.11,81,100,1.63
207,Saint-Philippe,RE,2022-01-06 21:14:28,overcast clouds,-21.3585,55.7679,74.79,76,100,4.7
208,Vidim,RU,2022-01-06 21:14:28,overcast clouds,56.4088,103.1106,9.36,99,100,4.03
209,Sitka,US,2022-01-06 21:14:29,clear sky,57.0531,-135.33,24.69,58,0,4.61
210,Egvekinot,RU,2022-01-06 21:14:29,few clouds,66.3167,-179.1667,9.45,83,23,12.08
211,Galveston,US,2022-01-06 21:14:29,clear sky,29.3669,-94.9669,73.99,63,0,10.0
212,Flin Flon,CA,2022-01-06 21:14:30,scattered clouds,54.7682,-101.865,-14.08,85,48,8.1
213,Fenoarivo Atsinanana,MG,2022-01-06 21:14:30,light rain,-17.3667,49.4167,74.82,90,99,2.93
214,Kemptville,CA,2022-01-06 21:14:30,overcast clouds,45.0168,-75.641,28.94,83,99,7.61
215,Tungi,BD,2022-01-06 21:14:31,haze,23.89,90.4058,68.0,73,2,0.0
216,Maniitsoq,GL,2022-01-06 21:14:31,overcast clouds,65.4167,-52.9,19.4,85,100,7.36
217,Sola,VU,2022-01-06 21:14:31,broken clouds,-13.8833,167.55,84.87,70,75,6.91
218,Klaksvik,FO,2022-01-06 21:14:32,overcast clouds,62.2266,-6.589,40.12,79,100,14.12
219,Soto La Marina,MX,2022-01-06 21:14:32,clear sky,23.7667,-98.2167,82.78,39,7,5.37
220,Punta Gorda,US,2022-01-06 21:14:33,broken clouds,26.9298,-82.0454,77.05,50,75,3.0
221,Sumkino,RU,2022-01-06 21:14:33,overcast clouds,58.1108,68.3244,2.19,95,100,9.89
222,Necochea,AR,2022-01-06 21:13:19,overcast clouds,-38.5473,-58.7368,81.84,33,87,16.26
223,Nuuk,GL,2022-01-06 21:14:34,overcast clouds,64.1835,-51.7216,20.88,73,98,8.01
224,Rio Gallegos,AR,2022-01-06 21:14:34,few clouds,-51.6226,-69.2181,75.25,22,20,31.07
225,Orlik,RU,2022-01-06 21:14:35,scattered clouds,52.5178,99.825,-4.52,94,32,2.71
226,Bodinayakkanur,IN,2022-01-06 21:14:35,overcast clouds,10.0167,77.35,71.4,88,91,1.61
227,Beyneu,KZ,2022-01-06 21:14:36,broken clouds,45.3167,55.2,34.7,88,83,13.11
228,Basco,PH,2022-01-06 21:14:36,scattered clouds,20.4487,121.9702,75.02,78,41,22.08
229,Clyde River,CA,2022-01-06 21:14:36,overcast clouds,70.4692,-68.5914,-19.64,84,88,4.63
230,Tilichiki,RU,2022-01-06 21:14:37,scattered clouds,60.4667,166.1,4.48,76,29,10.04
